National Institute of Technology Arunachal Pradesh,Civil Engineering,Home State,OPEN,Female-only,155902,177861
National Institute of Technology Arunachal Pradesh,Civil Engineering,Home State,EWS,Gender-Neutral,108205,111262
National Institute of Technology Arunachal Pradesh,Civil Engineering,Home State,OBC-NCL,Gender-Neutral,104844,106250
National Institute of Technology Arunachal Pradesh,Civil Engineering,Home State,OBC-NCL,Female-only,181143,181251
National Institute of Technology Arunachal Pradesh,Civil Engineering,Home State,SC,Gender-Neutral,227272,237772
National Institute of Technology Arunachal Pradesh,Computer Science and Engineering,Home State,OPEN,Female-only,78335,78335
National Institute of Technology Arunachal Pradesh,Computer Science and Engineering,Home State,EWS,Gender-Neutral,54807,54807
National Institute of Technology Arunachal Pradesh,Computer Science and Engineering,Home State,OBC-NCL,Female-only,85282,85282
National Institute of Technology Arunachal Pradesh,Computer Science and Engineering,Home State,SC,Gender-Neutral,155978,155978
National Institute of Technology Arunachal Pradesh,Electrical Engineering,All India,ST,Gender-Neutral,383832,383832
National Institute of Technology Arunachal Pradesh,Electrical Engineering,All India,ST,Female-only,444277,444277
National Institute of Technology Arunachal Pradesh,Electrical Engineering,Home State,OPEN,Gender-Neutral,71656,71656
National Institute of Technology Arunachal Pradesh,Electrical Engineering,Home State,OPEN,Female-only,96084,96084
National Institute of Technology Arunachal Pradesh,Electrical Engineering,Home State,EWS,Gender-Neutral,75591,80224
National Institute of Technology Arunachal Pradesh,Electrical Engineering,Home State,OBC-NCL,Gender-Neutral,73758,80048
National Institute of Technology Arunachal Pradesh,Electrical Engineering,Home State,ST,Gender-Neutral,405234,405234
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,All India,ST,Gender-Neutral,349213,349643
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,All India,ST,Female-only,404165,553460
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,Home State,OPEN,Gender-Neutral,59979,61285
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,Home State,OPEN,Female-only,86049,86049
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,Home State,EWS,Gender-Neutral,62609,65206
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,62185,62453
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,Home State,OBC-NCL,Female-only,134403,134403
National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,Home State,ST,Gender-Neutral,351699,364031
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,All India,ST,Gender-Neutral,402536,412452
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,All India,ST,Female-only,608490,739237
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,Home State,OPEN,Gender-Neutral,77187,86699
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,Home State,OPEN,Female-only,148594,148716
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,Home State,EWS,Gender-Neutral,95727,95727
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,Home State,OBC-NCL,Gender-Neutral,90703,93910
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,Home State,OBC-NCL,Female-only,179209,179209
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,Home State,SC,Female-only,285901,285901
National Institute of Technology Arunachal Pradesh,Mechanical Engineering,Home State,ST,Gender-Neutral,412955,413689
Maulana Azad National Institute of Technology Bhopal,Architecture,Home State,OBC-NCL,Gender-Neutral,32408,32408
Maulana Azad National Institute of Technology Bhopal,Architecture,All India,OPEN,Gender-Neutral,1326,1326
Maulana Azad National Institute of Technology Bhopal,Architecture,All India,EWS,Gender-Neutral,9393,9393
Maulana Azad National Institute of Technology Bhopal,Architecture,All India,OBC-NCL,Gender-Neutral,3217,3217
Maulana Azad National Institute of Technology Bhopal,Engineering and Computational Mechanics,Home State,OBC-NCL,Gender-Neutral,50398,50398
Maulana Azad National Institute of Technology Bhopal,Engineering and Computational Mechanics,All India,OBC-NCL,Gender-Neutral,37068,37068
Maulana Azad National Institute of Technology Bhopal,Engineering and Computational Mechanics,All India,SC,Gender-Neutral,122266,122266
Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,Home State,OPEN,Gender-Neutral,45818,46377
Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,Home State,EWS,Gender-Neutral,47600,49576
Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,Home State,OBC-NCL,Gender-Neutral,53318,54652
Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,All India,OPEN,Gender-Neutral,37810,38958
Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,All India,OPEN,Female-only,46841,46841
Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,All India,EWS,Gender-Neutral,43461,43461
Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,All India,OBC-NCL,Gender-Neutral,47735,48164
Maulana Azad National Institute of Technology Bhopal,Civil Engineering,Home State,OPEN,Gender-Neutral,51683,53993
Maulana Azad National Institute of Technology Bhopal,Civil Engineering,Home State,EWS,Gender-Neutral,70223,70223
Maulana Azad National Institute of Technology Bhopal,Civil Engineering,Home State,OBC-NCL,Gender-Neutral,59275,64313
Maulana Azad National Institute of Technology Bhopal,Civil Engineering,All India,OPEN,Gender-Neutral,48022,48022
Maulana Azad National Institute of Technology Bhopal,Civil Engineering,All India,OBC-NCL,Gender-Neutral,54226,54570
Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering,All India,OPEN,Female-only,17750,17750
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,Home State,OPEN,Gender-Neutral,25933,25999
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,Home State,EWS,Gender-Neutral,27947,28148
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,Home State,OBC-NCL,Gender-Neutral,31493,31493
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,Home State,SC,Gender-Neutral,127022,127022
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,All India,OPEN,Gender-Neutral,24031,24636
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,All India,OPEN,Female-only,37052,37052
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,All India,EWS,Gender-Neutral,29935,30465
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,All India,OBC-NCL,Gender-Neutral,29013,29177
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,Home State,OPEN,Gender-Neutral,19024,19024
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,24100,24607
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,16561,16708
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,22370,22370
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,43312,43312
Maulana Azad National Institute of Technology Bhopal,Energy and Electrical Vehicle Engineering,All India,OPEN,Gender-Neutral,32678,32678
Maulana Azad National Institute of Technology Bhopal,Energy and Electrical Vehicle Engineering,All India,OPEN,Female-only,51561,51561
Maulana Azad National Institute of Technology Bhopal,Energy and Electrical Vehicle Engineering,All India,EWS,Gender-Neutral,42743,42743
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,Home State,OPEN,Gender-Neutral,59054,59054
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,Home State,EWS,Gender-Neutral,71081,71081
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,Home State,OBC-NCL,Gender-Neutral,71730,72124
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,Home State,SC,Female-only,514841,514841
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,All India,OPEN,Gender-Neutral,52088,52088
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,All India,EWS,Gender-Neutral,54160,55719
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,All India,OBC-NCL,Gender-Neutral,58565,59177
Maulana Azad National Institute of Technology Bhopal,Materials Science and Metallurgical Engineering,All India,OBC-NCL,Female-only,94395,94395
Maulana Azad National Institute of Technology Bhopal,Mathematics and Data Science,All India,OPEN,Gender-Neutral,18092,18092
Maulana Azad National Institute of Technology Bhopal,Mathematics and Data Science,All India,SC,Female-only,168504,168504
Maulana Azad National Institute of Technology Bhopal,Mechanical Engineering,Home State,OPEN,Gender-Neutral,37527,37527
Maulana Azad National Institute of Technology Bhopal,Mechanical Engineering,Home State,EWS,Gender-Neutral,44541,44541
Maulana Azad National Institute of Technology Bhopal,Mechanical Engineering,Home State,OBC-NCL,Gender-Neutral,47691,47691
